%time,field
1770290537133143856,42.7
1770290537153260139,41.3
1770290537193227815,38.9
1770290537212907698,39.4
1770290537233153083,38.9
1770290537273010704,41.7
1770290537313158712,42.7
1770290537353166502,38.5
1770290537373165963,40.8
1770290537413075910,42.7
1770290537453224345,38.9
1770290537493160731,39.9
1770290537513180548,38.9
1770290537593291023,39.9
1770290537613183874,41.3
1770290537653052850,43.6
1770290537673179694,38.9
1770290537712991111,38.5
1770290537732930982,38.5
1770290537793082632,41.3
1770290537813182791,40.8
1770290537953160374,41.7
1770290537973161266,38.5
1770290537993229253,40.3
1770290538033111602,42.7
1770290538113302603,41.3
1770290538133194825,40.8
1770290538172994415,39.4
1770290538293244817,39.4
1770290538332988168,38.0
1770290538352971870,40.8
1770290538393102737,38.9
1770290538473171992,39.9
1770290538492985634,42.2
1770290538512998087,42.7
1770290538553135391,42.7
1770290538593212456,38.5
1770290538633142573,41.7
1770290538673219584,39.4
1770290538713137391,38.0
1770290538733148482,38.5
1770290538773150687,41.7
1770290538793153549,43.6
1770290538813180885,38.9
1770290538853222138,43.2
1770290538873169549,40.8
1770290538893229822,38.0
1770290538933147106,40.8
1770290538953141310,38.9
1770290538993123070,43.2
1770290539013084521,41.7
1770290539113222767,40.3
1770290539173289123,41.3
1770290539193260162,41.7
1770290539253280270,43.2
1770290539313164349,38.9
1770290539333162501,39.4
1770290539373207973,41.3
1770290539453210102,41.3
1770290539473248725,38.5
1770290539493191309,42.2
1770290539533066052,39.4
1770290539553167828,39.9
1770290539613167904,38.9
1770290539633205484,40.3
1770290539653159296,43.6
1770290539693122824,39.9
1770290539713127795,39.4
1770290539753084740,44.1
1770290539773171711,38.5
1770290539873191562,38.9
1770290539933300636,40.3
1770290539953321033,39.4
1770290539993137680,43.2
1770290540113256292,39.4
1770290540153173135,42.7
1770290540173191341,42.2
1770290540213179778,43.2
1770290540233275676,39.9
1770290540293160333,38.5
1770290540313162134,40.8
1770290540333108289,41.7
1770290540373292220,39.9
1770290540393156264,42.7
1770290540453319291,39.9
1770290540473163244,43.2
1770290540513160839,43.2
1770290540533200594,37.1
1770290540553170922,38.5
1770290540593062376,41.7
1770290540613169991,41.3
1770290540673077027,44.1
1770290540693196407,39.9
1770290540773227528,41.3
1770290540813153046,38.9
1770290540833215742,38.5
1770290540893074895,40.3
1770290540912994942,43.2
1770290540933172616,38.5
1770290540972951415,39.9
1770290540992984542,42.2
1770290541033159778,40.8
1770290541052952547,38.0
1770290541073050855,42.7
1770290541133207021,43.2
1770290541153203544,43.2
1770290541193022813,38.0
1770290541212990335,41.3
1770290541273186965,38.0
1770290541293134030,42.7
1770290541333107869,40.8
1770290541353287770,42.2
1770290541373062130,42.2
1770290541413175731,40.8
1770290541433217071,43.6
1770290541453177252,38.0
1770290541513219971,42.2
1770290541533221038,42.2
1770290541573149743,43.2
1770290541592950226,40.8
1770290541633081786,42.7
1770290541653205880,40.8
1770290541713128559,41.7
1770290541733137875,37.5
1770290541753197051,41.3
1770290541793168134,42.7
1770290541813262304,38.9
1770290541873334228,40.8
1770290541893204088,43.2
1770290541932988802,42.7
1770290541953007244,39.9
1770290541973063850,38.5
1770290542013191741,42.2
1770290542033098038,38.5
1770290542093287095,39.4
1770290542113256677,44.1
1770290542153195507,42.7
1770290542173246452,43.2
1770290542193123060,39.4
1770290542253195434,42.2
1770290542273152981,42.7
1770290542313173578,42.7
1770290542333132767,38.9
1770290542353168351,42.2
1770290542393126900,40.8
1770290542413089223,38.5
1770290542473298443,41.3
1770290542493188452,42.2
1770290542533193463,40.8
1770290542553251560,41.3
1770290542573146876,43.2
1770290542613070098,38.9
1770290542632931411,38.5
1770290542653082551,40.8
1770290542693108655,39.9
1770290542753135929,40.3
1770290542833154906,41.3
1770290542913136580,41.7
1770290542953183346,41.3
1770290543013246650,38.9
1770290543033187989,41.7
1770290543073152833,38.5
1770290543093185406,38.9
1770290543153215774,41.7
1770290543213091630,41.3
1770290543233139507,42.7
1770290543253272380,39.4
1770290543293183604,38.9
1770290543333067204,43.6
1770290543433091708,38.9
1770290543473162649,39.4
1770290543513168790,42.2
1770290543533122223,41.3
1770290543553185105,38.9
1770290543593084647,42.2
1770290543653221519,38.9
1770290543693224627,39.4
1770290543813164674,39.4
1770290543833136869,38.0
1770290543853248838,41.3
1770290543893220892,38.9
1770290543933257108,39.4
1770290543973315667,39.9
1770290544053206403,43.2
1770290544113192011,40.8
1770290544133273003,38.9
1770290544153223606,40.8
1770290544233294556,38.0
1770290544313162285,38.5
1770290544373270521,43.6
1770290544413145546,38.0
