%time,field.angle,field.distance
1770290520953061185,90.0,40.8
1770290520973165144,90.0,39.9
1770290520993144189,90.0,42.2
1770290521033126404,90.0,42.2
1770290521073121468,90.0,38.0
1770290521113247727,90.0,39.4
1770290521173212486,90.0,37.1
1770290521192933411,90.0,43.6
1770290521252891884,90.0,38.9
1770290521333113763,86.9,43.6
1770290521373193607,90.0,42.7
1770290521413164019,90.0,39.4
1770290521433198937,90.0,39.4
1770290521453201697,90.0,43.2
1770290521492980103,90.0,43.6
1770290521573102507,90.0,38.0
1770290521593107753,90.0,38.9
1770290521633190562,90.0,42.7
1770290521653124729,90.0,39.4
1770290521673152489,90.0,42.2
1770290521713126474,90.0,39.4
1770290521732955214,90.0,40.3
1770290521793185618,90.0,39.9
1770290521953255219,90.0,42.2
1770290522013291941,90.0,39.4
1770290522053235328,90.0,39.9
1770290522092879993,90.0,42.2
1770290522112991412,90.0,43.6
1770290522173148855,90.0,39.9
1770290522193034154,90.0,40.3
1770290522213100633,90.0,39.9
1770290522273101066,90.0,41.7
1770290522313111907,90.0,39.9
1770290522353190204,90.0,40.8
1770290522473125811,90.0,43.2
1770290522553116506,90.0,39.9
1770290522573162475,90.0,44.1
1770290522633078379,90.0,42.2
1770290522653193975,90.0,44.1
1770290522713232586,90.0,42.7
1770290522733266098,90.0,37.1
1770290522793252098,90.0,43.2
1770290522813187880,90.0,41.7
1770290522853123162,81.9,41.7
1770290522893224413,90.0,41.7
1770290522932994920,90.0,41.3
1770290522953049574,90.0,39.9
1770290522973081605,90.0,41.7
1770290523013159183,90.0,42.7
1770290523072950271,90.0,38.0
1770290523153011474,90.0,41.7
1770290523253184073,90.0,42.7
1770290523273154540,90.0,40.8
1770290523313082970,90.0,43.6
1770290523333134747,90.0,40.3
1770290523373123118,90.0,41.7
1770290523413150672,84.3,42.7
1770290523453039396,90.0,43.2
1770290523473018861,90.0,41.7
1770290523533015387,90.0,39.4
1770290523552880148,90.0,38.9
1770290523572950108,90.0,40.3
1770290523613100793,90.0,43.6
1770290523633025627,90.0,39.4
1770290523693307503,90.0,41.7
1770290523752944528,90.0,42.2
1770290523772888186,90.0,42.2
1770290523793082181,90.0,38.9
1770290523853154006,90.0,39.9
1770290523873097574,90.0,42.7
1770290523912949620,90.0,42.7
1770290523932933659,90.0,39.4
1770290523993174405,90.0,39.9
1770290524013169972,90.0,38.5
1770290524053005047,90.0,42.2
1770290524073028257,90.0,39.4
1770290524093133285,90.0,42.2
1770290524153110357,77.3,44.1
1770290524173137258,90.0,39.9
1770290524213139561,90.0,41.3
1770290524233127888,90.0,42.7
1770290524272909251,90.0,41.3
1770290524313221166,90.0,37.1
1770290524353019433,90.0,40.3
1770290524373093802,90.0,40.8
1770290524433128605,90.0,41.7
1770290524453135388,90.0,39.4
1770290524473129099,90.0,40.3
1770290524513149673,86.5,43.6
1770290524533137801,90.0,39.4
1770290524593157816,90.0,42.7
1770290524613073022,90.0,41.7
1770290524673162482,90.0,42.2
1770290524693204505,90.0,40.3
1770290524733121042,90.0,38.9
1770290524753153319,90.0,38.9
1770290524773076147,90.0,42.2
1770290524813115758,90.0,37.5
1770290524833018633,90.0,39.9
1770290524853176098,90.0,42.7
1770290524893140233,90.0,40.3
1770290524913160703,90.0,39.9
1770290524953054684,90.0,39.4
1770290524973123383,90.0,44.6
1770290524993183629,90.0,40.8
1770290525033072310,90.0,38.9
1770290525053131635,90.0,41.3
1770290525113128139,90.0,41.3
1770290525133179869,90.0,41.3
1770290525213179023,90.0,39.4
1770290525253120210,90.0,41.7
1770290525293126520,90.0,43.6
1770290525373200183,90.0,43.6
1770290525413068792,90.0,43.6
1770290525433130889,90.0,38.9
1770290525452972468,90.0,38.5
1770290525513244219,90.0,40.8
1770290525553065356,90.0,42.7
1770290525593114551,90.0,43.2
1770290525633172835,90.0,41.7
1770290525673089320,90.0,38.0
1770290525713104698,90.0,43.2
1770290525732889538,85.2,39.9
1770290525793197424,90.0,39.4
1770290525813119555,90.0,38.9
1770290525893243669,90.0,39.4
1770290526013206066,90.0,39.9
1770290526033132563,90.0,40.3
1770290526053116304,86.1,41.3
1770290526093061377,90.0,39.4
1770290526113222915,90.0,38.9
1770290526133013625,90.0,42.7
1770290526193204340,90.0,41.7
1770290526233024399,90.0,37.5
1770290526313203082,90.0,41.7
1770290526333131891,90.0,42.2
1770290526353086333,90.0,41.3
1770290526413275487,90.0,40.3
1770290526453079789,90.0,39.4
1770290526473155778,90.0,43.2
1770290526493113667,90.0,40.8
1770290526533098902,90.0,40.3
1770290526573080047,90.0,44.1
1770290526613101536,90.0,38.9
1770290526633099170,90.0,39.4
1770290526653150254,90.0,41.3
1770290526693117202,90.0,38.5
1770290526733168072,90.0,42.2
1770290526833010825,90.0,39.4
1770290526913097543,90.0,39.4
1770290526953192364,90.0,41.3
1770290527013260715,90.0,42.7
1770290527093327331,90.0,40.3
1770290527113156634,90.0,39.9
1770290527173174502,90.0,38.5
1770290527253307519,90.0,39.4
1770290527333286589,90.0,41.7
1770290527373129735,90.0,38.9
1770290527393270905,90.0,41.7
1770290527413056860,87.2,44.6
1770290527553321130,90.0,42.7
1770290527573218929,90.0,38.0
1770290527613208031,90.0,41.7
1770290527632901260,90.0,43.2
1770290527693222362,90.0,40.3
1770290527713310373,90.0,39.9
1770290527753121946,90.0,37.5
1770290527793224871,90.0,40.8
1770290527833104537,90.0,39.4
1770290527853240211,90.0,42.7
1770290527873095345,90.0,40.8
1770290527913167479,90.0,42.2
1770290527933007279,90.0,43.2
1770290527973180130,90.0,38.9
1770290527993162031,90.0,44.1
1770290528013158868,90.0,41.7
1770290528093247595,90.0,38.9
1770290528133116856,90.0,38.5
1770290528153083678,90.0,42.2
1770290528173224230,90.0,39.4
1770290528233111696,90.0,38.5
1770290528273204140,90.0,41.3
1770290528293220870,90.0,40.8
1770290528312997161,90.0,42.2
1770290528353000957,90.0,38.9
1770290528373252787,90.0,38.9
1770290528393109444,90.0,41.7
1770290528453189035,90.0,38.9
1770290528513143330,90.0,41.7
1770290528533251351,90.0,39.4
1770290528613194842,90.0,39.4
1770290528653176495,90.0,42.7
1770290528733026215,90.0,40.8
1770290528753095807,90.0,39.4
1770290528773187620,90.0,39.9
1770290528833138351,90.0,41.7
1770290528873172327,90.0,38.9
1770290528913118755,90.0,38.0
1770290528993220721,90.0,38.5
1770290529033044490,90.0,38.5
1770290529053204117,90.0,39.4
1770290529113064855,90.0,38.9
1770290529193205194,90.0,41.7
1770290529213214868,90.0,43.2
1770290529253056074,90.0,41.7
1770290529373233275,90.0,39.9
1770290529413102922,90.0,40.3
1770290529433156076,90.0,39.4
1770290529493303250,90.0,43.2
1770290529513220766,90.0,38.9
1770290529573205024,90.0,41.7
1770290529633050954,90.0,40.8
1770290529653262242,90.0,43.6
1770290529673187754,90.0,42.7
1770290529713136665,90.0,43.6
1770290529753173889,90.0,41.3
1770290529793150260,90.0,42.7
1770290529812976308,90.0,38.5
1770290529953315056,90.0,42.7
1770290529973263549,90.0,41.3
1770290530053292306,90.0,43.2
1770290530093096556,90.0,39.4
1770290530113164951,86.8,41.3
1770290530153154214,90.0,40.3
1770290530173256559,90.0,38.5
1770290530273109377,90.0,43.2
1770290530353288520,90.0,42.2
1770290530413227632,90.0,38.9
1770290530473190758,90.0,43.6
1770290530493220612,90.0,44.1
1770290530533019087,90.0,42.7
1770290530553247496,90.0,43.2
1770290530573129089,90.0,43.2
1770290530613118631,90.0,38.9
1770290530653246271,90.0,43.6
1770290530693253248,90.0,38.9
1770290530713130652,90.0,40.3
1770290530733053818,84.3,40.8
1770290530773097767,90.0,42.2
1770290530833262909,90.0,38.5
1770290530873136702,90.0,41.3
1770290530913027791,90.0,41.3
1770290530932938962,90.0,38.9
1770290530952970317,90.0,42.7
1770290531033214750,90.0,40.3
1770290531073191433,90.0,41.7
1770290531113184677,90.0,38.9
1770290531173142443,90.0,42.7
1770290531213010885,90.0,41.7
1770290531233142236,90.0,38.9
1770290531313222379,90.0,44.1
1770290531393232813,90.0,41.7
1770290531413235574,90.0,42.2
1770290531513107159,90.0,38.0
1770290531553241120,90.0,41.7
1770290531593195745,90.0,39.9
1770290531613179088,90.0,40.8
1770290531633187446,90.0,38.5
1770290531713228301,90.0,39.4
1770290531753120869,90.0,38.9
1770290531773197949,90.0,42.7
1770290531853284465,90.0,39.9
1770290531893189843,90.0,40.8
1770290531913232375,90.0,43.6
1770290531933273720,90.0,38.9
1770290531973197363,90.0,40.3
1770290531993238153,90.0,40.8
1770290532053277976,90.0,42.2
1770290532073175081,90.0,44.1
1770290532112969167,90.0,38.0
1770290532133234661,90.0,38.9
1770290532153083261,90.0,40.3
1770290532193168459,90.0,41.3
1770290532233191004,90.0,39.9
1770290532273150772,90.0,41.3
1770290532313177557,90.0,39.9
1770290532353095415,90.0,38.5
